Date,returns,Y_return,vol-20,vol_20,T_vol_shock,lag_return
2021-02-02,0.0253495396757429,0.0253495396757429,0.0156987651728052,0.0156987651728052,1,0.0463333497197179
2021-02-03,0.00965436891394502,0.00965436891394502,0.0157859450236745,0.0157859450236745,1,0.0253495396757429
2021-02-04,0.00712134098202543,0.00712134098202543,0.0157631895646385,0.0157631895646385,1,0.00965436891394502
2021-02-05,0.00191815651758026,0.00191815651758026,0.0157461661980622,0.0157461661980622,1,0.00712134098202543
2021-02-08,0.0127531347053859,0.0127531347053859,0.0156724356135335,0.0156724356135335,1,0.00191815651758026
2021-02-09,-0.000430106116056429,-0.000430106116056429,0.0155988148457235,0.0155988148457235,1,0.0127531347053859
2021-02-10,-0.000185320574905186,-0.000185320574905186,0.0155865947221964,0.0155865947221964,1,-0.000430106116056429
2021-02-11,0.00441217666470795,0.00441217666470795,0.0155911954544694,0.0155911954544694,1,-0.000185320574905186
2021-02-12,-0.000659269693437066,-0.000659269693437066,0.0156028931231984,0.0156028931231984,1,0.00441217666470795
2021-02-15,0.009935142462116,0.009935142462116,0.0153847703481862,0.0153847703481862,1,-0.000659269693437066
2021-02-16,-8.16242564276353E-05,-8.16242564276353E-05,0.0150726509267699,0.0150726509267699,1,0.009935142462116
2021-02-17,-0.00685073145278517,-0.00685073145278517,0.014907514421147,0.014907514421147,1,-8.16242564276353E-05
2021-02-18,-0.00593187168439004,-0.00593187168439004,0.0149422291169159,0.0149422291169159,1,-0.00685073145278517
2021-02-19,-0.00911614311818451,-0.00911614311818451,0.0150912310013036,0.0150912310013036,1,-0.00593187168439004
2021-02-22,-0.0206397156403059,-0.0206397156403059,0.0154557942656015,0.0154557942656015,1,-0.00911614311818451
2021-02-23,0.0021848739697057,0.0021848739697057,0.0152634310635909,0.0152634310635909,1,-0.0206397156403059
2021-02-24,0.0184715285005203,0.0184715285005203,0.0148749096358018,0.0148749096358018,1,0.0021848739697057
2021-02-25,0.00766972533135362,0.00766972533135362,0.0145091861307499,0.0145091861307499,1,0.0184715285005203
2021-02-26,-0.0383622027563036,-0.0383622027563036,0.0169895083560949,0.0169895083560949,1,0.00766972533135362
2021-03-01,0.0158688108770192,0.0158688108770192,0.0140233845619025,0.0140233845619025,1,-0.0383622027563036
2021-03-02,0.0106164310797289,0.0106164310797289,0.0130675310644834,0.0130675310644834,1,0.0158688108770192
2021-03-03,0.0216486661523929,0.0216486661523929,0.0137471600152594,0.0137471600152594,1,0.0106164310797289
2021-03-04,-0.0108718151187931,-0.0108718151187931,0.0139483928173487,0.0139483928173487,1,0.0216486661523929
2021-03-05,-0.00950412599160746,-0.00950412599160746,0.0141250572126085,0.0141250572126085,1,-0.0108718151187931
2021-03-08,0.0012109725444472,0.0012109725444472,0.0138108674351228,0.0138108674351228,1,-0.00950412599160746
2021-03-09,0.00946286116981015,0.00946286116981015,0.0139906535059572,0.0139906535059572,1,0.0012109725444472
2021-03-10,0.00504734060246259,0.00504734060246259,0.0140365672752414,0.0140365672752414,1,0.00946286116981015
2021-03-12,-0.00952472273527502,-0.00952472273527502,0.0141631608039741,0.0141631608039741,1,0.00504734060246259
